rbp,weight,max_track_weight,n_tracks,tracks
SND1,0.4745993614,0.2762233615,2,SND1_K562;SND1_HepG2
YBX3,0.1667894686,0.1667744219,2,YBX3_HepG2;YBX3_K562
PABPN1,0.1495774239,0.1495774239,1,PABPN1_HepG2
SRSF1,0.14544365709999998,0.1454391927,2,SRSF1_HepG2;SRSF1_K562
LIN28B,0.0620824046,0.0620734282,2,LIN28B_K562;LIN28B_HepG2
POLR2G,0.0007374942,0.0007374942,1,POLR2G_HepG2
HNRNPC,0.0001797334,0.0001779471,2,HNRNPC_K562;HNRNPC_HepG2
IGF2BP2,0.0001454531,0.0001454531,1,IGF2BP2_K562
U2AF1,0.0001037643,0.0001029127,2,U2AF1_HepG2;U2AF1_K562
ABCF1,5.61796e-05,5.61796e-05,1,ABCF1_K562
FXR2,2.9795999999999997e-05,2.45925e-05,2,FXR2_K562;FXR2_HepG2
GRWD1,1.87635e-05,1.64823e-05,2,GRWD1_HepG2;GRWD1_K562
ZNF800,1.59109e-05,9.9418e-06,2,ZNF800_HepG2;ZNF800_K562
FXR1,1.52179e-05,1.52179e-05,1,FXR1_K562
EIF3H,1.18893e-05,1.18893e-05,1,EIF3H_HepG2
SSB,1.15124e-05,1.12318e-05,2,SSB_HepG2;SSB_K562
G3BP1,1.13748e-05,1.13748e-05,1,G3BP1_HepG2
AKAP1,1.06043e-05,1.00654e-05,2,AKAP1_K562;AKAP1_HepG2
RPS3,9.1603e-06,8.1876e-06,2,RPS3_HepG2;RPS3_K562
FMR1,6.9822e-06,6.9822e-06,1,FMR1_K562
DDX3X,6.8852e-06,4.8089e-06,2,DDX3X_K562;DDX3X_HepG2
ZNF622,5.5699e-06,5.5699e-06,1,ZNF622_K562
DDX55,5.4165e-06,4.0697e-06,2,DDX55_K562;DDX55_HepG2
FTO,4.1161e-06,3.7403e-06,2,FTO_HepG2;FTO_K562
PPIG,4.0888e-06,4.0888e-06,1,PPIG_HepG2
SRSF9,4.0211e-06,4.0211e-06,1,SRSF9_HepG2
EXOSC5,3.8678e-06,3.3312e-06,2,EXOSC5_HepG2;EXOSC5_K562
UCHL5,3.6949e-06,3.0971e-06,2,UCHL5_HepG2;UCHL5_K562
U2AF2,3.6506e-06,2.9451e-06,2,U2AF2_K562;U2AF2_HepG2
LARP7,3.6323e-06,2.6653e-06,2,LARP7_K562;LARP7_HepG2
SDAD1,3.2809e-06,2.2972e-06,2,SDAD1_HepG2;SDAD1_K562
SRSF7,3.0351e-06,2.6041e-06,2,SRSF7_K562;SRSF7_HepG2
NIP7,2.9593e-06,2.9593e-06,1,NIP7_HepG2
IGF2BP1,2.8232999999999997e-06,2.4228e-06,2,IGF2BP1_HepG2;IGF2BP1_K562
DROSHA,2.5431999999999996e-06,1.9094e-06,2,DROSHA_HepG2;DROSHA_K562
TRA2A,2.4034e-06,1.7764e-06,2,TRA2A_HepG2;TRA2A_K562
HNRNPM,2.1253000000000002e-06,1.3933e-06,2,HNRNPM_K562;HNRNPM_HepG2
NCBP2,1.8432e-06,1.5965e-06,2,NCBP2_HepG2;NCBP2_K562
UPF1,1.8274999999999999e-06,1.3081e-06,2,UPF1_HepG2;UPF1_K562
