track_index,weight,logit,rbp_ct,rbp,ct
168,0.2762233615,7.5064258575,SND1_K562,SND1,K562
167,0.1983759999,7.1753802299,SND1_HepG2,SND1,HepG2
213,0.1667744219,7.0018582344,YBX3_HepG2,YBX3,HepG2
122,0.1495774239,6.8930301666,PABPN1_HepG2,PABPN1,HepG2
169,0.1454391927,6.8649740219,SRSF1_HepG2,SRSF1,HepG2
103,0.0620734282,6.0135340691,LIN28B_K562,LIN28B,K562
127,0.0007374942,1.5807188749,POLR2G_HepG2,POLR2G,HepG2
78,0.0001779471,0.1589469761,HNRNPC_K562,HNRNPC,K562
91,0.0001454531,-0.0426856205,IGF2BP2_K562,IGF2BP2,K562
193,0.0001029127,-0.388658613,U2AF1_HepG2,U2AF1,HepG2
2,5.61796e-05,-0.993986249,ABCF1_K562,ABCF1,K562
63,2.45925e-05,-1.8200993538,FXR2_K562,FXR2,K562
69,1.64823e-05,-2.2202522755,GRWD1_HepG2,GRWD1,HepG2
61,1.52179e-05,-2.3000702858,FXR1_K562,FXR1,K562
214,1.50467e-05,-2.3113822937,YBX3_K562,YBX3,K562
45,1.18893e-05,-2.5469033718,EIF3H_HepG2,EIF3H,HepG2
64,1.13748e-05,-2.5911345482,G3BP1_HepG2,G3BP1,HepG2
174,1.12318e-05,-2.6037945747,SSB_HepG2,SSB,HepG2
6,1.00654e-05,-2.7134373188,AKAP1_K562,AKAP1,K562
220,9.9418e-06,-2.7257943153,ZNF800_HepG2,ZNF800,HepG2
102,8.9764e-06,-2.8279390335,LIN28B_HepG2,LIN28B,HepG2
148,8.1876e-06,-2.919917345,RPS3_HepG2,RPS3,HepG2
55,6.9822e-06,-3.0791749954,FMR1_K562,FMR1,K562
221,5.9691e-06,-3.2359395027,ZNF800_K562,ZNF800,K562
219,5.5699e-06,-3.3051655293,ZNF622_K562,ZNF622,K562
62,5.2035e-06,-3.3732094765,FXR2_HepG2,FXR2,HepG2
24,4.8089e-06,-3.4520640373,DDX3X_K562,DDX3X,K562
170,4.4644e-06,-3.5264139175,SRSF1_K562,SRSF1,K562
128,4.0888e-06,-3.6142904758,PPIG_HepG2,PPIG,HepG2
30,4.0697e-06,-3.6189792156,DDX55_K562,DDX55,K562
